Year,Month,Data_value
2012,7,3050.7
2012,8,3143.7
2012,9,2998.3
2012,1,3152.4
2012,11,3241.1
2012,12,3751.6
2013,1,3145.6
2013,2,2959.7
2013,3,3244.5
2013,4,3118.4
2013,5,3269.6
2013,6,3090.3
2013,7,3232.3
2013,8,3290.2
2013,9,3090.8
2013,1,3328.7
2013,11,3390.5
2013,12,3902.2
2014,1,3267.1
2014,2,3077.6
2014,3,3349.4
2014,4,3237
2014,5,3463.1
2014,6,3184.2
2014,7,3358.7
2014,8,3355.2
2014,9,3199.8
2014,1,3472
2014,11,3442
2014,12,4029.8
2015,1,3391.4
2015,2,3149.6
2015,3,3429.6
2015,4,3335
2015,5,3484.4
2015,6,3280.2
2015,7,3483.2
2015,8,3409.6
2015,9,3313.1
2015,1,3560.3
2015,11,3492.1
2015,12,4171.2
2016,1,3420.1
2016,2,3331.8
2016,3,3526
2016,4,3479.5
2016,5,3474.3
2016,6,3401.9
2016,7,3538.8
2016,8,3417
2016,9,3382.7
2016,1,3548.3
2016,11,3558.2
2016,12,4198.9
2017,1,3391.5
2017,2,3216.2
2017,3,3535.3
2017,4,3375
2017,5,3505.7
2017,6,3361.3
2017,7,3410.1
2017,8,3426.8
2017,9,3343.9
2017,1,3479
2017,11,3587.6
2017,12,4129.3
2018,1,3345.2
2018,2,3137.2
2018,3,3517.5
2018,4,3265.4
2018,5,3454.7
2018,6,3328.4
2018,7,3373.4
2018,8,3445.8
2018,9,3304.1
2018,1,3479.2
2018,11,3527.1
2018,12,4002.4
2019,1,3357.1
2019,2,3151.3
2019,3,3454.8
2019,4,3312.2
2019,5,3491.6
2019,6,3268.7
2019,7,3398.1
2019,8,3482.4
2019,9,3292.9
2019,1,3539.5
2019,11,3604.2
2019,12,4032.6
2020,1,3413.1
2020,2,3356.4
2020,3,3106.2
2020,4,1143.7
2020,5,2412.1
2020,6,2950.2
2020,7,3225
2020,8,2828.3
2020,9,2959.9
2020,1,3204.2
2020,11,3175.8
2020,12,3664.7
2021,1,3038
2021,2,2780.1
2021,3,3015.4
2021,4,3017.6
2021,5,3114.5
2021,6,3002.1
2021,7,3139
2002,1,2187.4
2002,11,2149.3
2002,12,2228
2003,1,2216.1
2003,2,2225.3
2003,3,2220.9
2003,4,2235.2
2003,5,2246.5
2003,6,2224.1
2003,7,2285.4
2003,8,2305.7
2003,9,2302.6
2003,1,2337.4
2003,11,2355.6
2003,12,2433.7
2004,1,2392.9
2004,2,2373.5
2004,3,2426.9
2004,4,2459.4
2004,5,2477.3
2004,6,2478.2
2004,7,2511.5
2004,8,2520
2004,9,2542.4
2004,1,2543.3
2004,11,2586.7
2004,12,2584.5
2005,1,2622.5
2005,2,2641.3
2005,3,2657.5
2005,4,2675.5
2005,5,2668.5
2005,6,2713.9
2005,7,2742.9
2005,8,2751.2
2005,9,2787.2
2005,1,2812.1
2005,11,2807.4
2005,12,2769.8
2006,1,2842.8
2006,2,2845.9
2006,3,2893.2
2006,4,2911.6
2006,5,2968.6
2006,6,2993.6
2006,7,2984.9
2006,8,3004.4
2006,9,3000.3
2006,1,3039
2006,11,3044.6
2006,12,3080.2
2007,1,3093.6
2007,2,3132.2
2007,3,3145.8
2007,4,3166.7
2007,5,3159.6
2007,6,3212.4
2007,7,3200.7
2007,8,3231.8
2007,9,3269
2007,1,3257.8
2007,11,3317
2007,12,3312.8
2008,1,3325.9
2008,2,3329.6
2008,3,3331.8
2008,4,3335
2008,5,3369.5
2008,6,3350.3
2008,7,3385
2008,8,3414.2
2008,9,3403.7
2008,1,3422.8
2008,11,3381
2008,12,3394.8
2009,1,3381.2
2009,2,3419.1
2009,3,3410.2
2009,4,3428.8
2009,5,3446.9
2009,6,3419.2
2009,7,3455.1
2009,8,3480.5
2009,9,3484
2009,1,3462.6
2009,11,3491
2009,12,3522.9
2010,1,3520.1
2010,2,3533
2010,3,3595.5
2010,4,3525.2
2010,5,3554.6
2010,6,3572.4
2010,7,3580.3
2010,8,3576.7
2010,9,3649
2010,1,3655
2010,11,3699.4
2010,12,3727.7
2011,1,3751.9
2011,2,3747.4
2011,3,3795
2011,4,3858.8
2011,5,3810.5
2011,6,3854.7
2011,7,3890.7
2011,8,3852.3
2011,9,3893.3
2011,1,3944.5
2011,11,3919.4
2011,12,3917.8
2012,1,3968.3
2012,2,3951.9
2012,3,3979.9
2012,4,4010.6
2012,5,4024.3
2012,6,4038.8
2012,7,4016.4
2012,8,4097.6
2012,9,4111.3
2012,1,4096.5
2012,11,4124.3
2012,12,4140.7
2013,1,4178.3
2013,2,4191.8
2013,3,4199.1
2013,4,4228.7
2013,5,4241
2013,6,4292.9
2013,7,4311.6
2013,8,4328.7
2013,9,4316.6
2013,1,4361.1
2013,11,4384.7
2013,12,4412.7
2014,1,4404.8
2014,2,4426
2014,3,4430.9
2014,4,4455.4
2014,5,4500.2
2014,6,4482.1
2014,7,4490.9
2014,8,4521.6
2014,9,4513.6
2014,1,4559.8
2014,11,4563.9
2014,12,4569.6
2015,1,4561.1
2015,2,4592.4
2015,3,4634.1
2015,4,4608.1
2015,5,4679
2015,6,4685.5
2015,7,4722.6
2015,8,4748.8
2015,9,4786.2
2015,1,4780
2015,11,4815.8
2015,12,4855.6
2016,1,4827.7
2016,2,4847.8
2016,3,4876.4
2016,4,4913.4
2016,5,4912.3
2016,6,4972.6
2016,7,5001.9
2016,8,4936.2
2016,9,5019.1
2016,1,5052.3
2016,11,5032.2
2016,12,5076.1
2017,1,5256.7
2017,2,5217
2017,3,5213.2
2017,4,5271
2017,5,5259.2
2017,6,5248.6
2017,7,5249.8
2017,8,5258.4
2017,9,5269.5
2017,1,5334.2
2017,11,5402.9
2017,12,5449.8
2018,1,5473.1
2018,2,5449.7
2018,3,5535
2018,4,5423.9
2018,5,5468.1
2018,6,5495.2
2018,7,5513
2018,8,5565.1
2018,9,5627.6
2018,1,5645
2018,11,5607.2
2018,12,5570.7
2019,1,5654
2019,2,5655.3
2019,3,5635.3
2019,4,5680.9
2019,5,5619.2
2019,6,5617
2019,7,5590.9
2019,8,5682.2
2019,9,5706.5
2019,1,5700.6
2019,11,5860.5
2019,12,5862.3
2020,1,5865.5
2020,2,5902.5
2020,3,5625
2020,4,2968.4
2020,5,5269.7
2020,6,6089.7
2020,7,6139.2
2020,8,5710.1
2020,9,6089.8
2020,1,6088.6
2020,11,6053.7
2020,12,6026.6
2021,1,5986.2
2021,2,5843.2
2021,3,5893.2
2021,4,6158.9
2021,5,6264.6
2021,6,6317.8
2021,7,6356.7
2002,1,1928.6
2002,11,1900.8
2002,12,1960.5
2003,1,1956.4
2003,2,1960.2
2003,3,1957.8
2003,4,1984.1
2003,5,1996.1
2003,6,1984
2003,7,2027.1
2003,8,2044.7
2003,9,2040.5
2003,1,2060.7
2003,11,2063.7
2003,12,2120.9
2004,1,2076.9
2004,2,2072
2004,3,2107.7
2004,4,2133.7
2004,5,2141.8
2004,6,2149.3
2004,7,2178.6
2004,8,2182.3
2004,9,2198.6
2004,1,2181.6
2004,11,2228.7
2004,12,2232.6
2005,1,2266.1
2005,2,2280.5
2005,3,2289.7
2005,4,2299.7
2005,5,2305.2
2005,6,2340.2
2005,7,2357.3
2005,8,2355.9
2005,9,2377.9
2005,1,2389.3
2005,11,2401.5
2005,12,2369.1
2006,1,2421.2
2006,2,2416.2
2006,3,2459.4
2006,4,2462.9
2006,5,2505.4
2006,6,2518.9
2006,7,2515.6
2006,8,2536.1
2006,9,2555.7
2006,1,2601.6
2006,11,2609.3
2006,12,2629.4
2007,1,2654.6
2007,2,2686.7
2007,3,2689.1
2007,4,2712.5
2007,5,2704
2007,6,2742.6
2007,7,2748.5
2007,8,2773.2
2007,9,2787.7
2007,1,2766.1
2007,11,2793.6
2007,12,2793.3
2008,1,2794.4
2008,2,2813.2
2008,3,2804.1
2008,4,2791.3
2008,5,2805.6
2008,6,2757.7
2008,7,2806.2
2008,8,2846.4
2008,9,2836.4
2008,1,2873.4
2008,11,2877.3
2008,12,2914.5
2009,1,2909.6
2009,2,2926
2009,3,2929.2
2009,4,2943.1
2009,5,2973
2009,6,2909
2009,7,2977.7
2009,8,2984.5
2009,9,2985.2
2009,1,2964
2009,11,2973.4
2009,12,2995.2
2010,1,2987.4
2010,2,3001.6
2010,3,3056
2010,4,2974.1
2010,5,3026.6
2010,6,3026.8
2010,7,3060.2
2010,8,3052.7
2010,9,3112.8
2010,1,3103.3
2010,11,3135.9
2010,12,3142.1
2011,1,3157.1
2011,2,3146.3
2011,3,3190.9
2011,4,3222.8
2011,5,3212.3
2011,6,3251
2011,7,3313
2011,8,3271.3
2011,9,3296.3
2011,1,3324.1
2011,11,3288
2011,12,3278.2
2012,1,3320.9
2012,2,3315.2
2012,3,3335.2
2012,4,3340.2
2012,5,3364
2012,6,3389.5
2012,7,3388.7
2012,8,3410.6
2012,9,3406
2012,1,3400.9
2012,11,3430.3
2012,12,3447.7
2013,1,3466.8
2013,2,3469.1
2013,3,3458.3
2013,4,3492.5
2013,5,3509.5
2013,6,3536.5
2013,7,3541.1
2013,8,3560.5
2013,9,3543.2
2013,1,3596.9
2013,11,3613.5
2013,12,3634.8
2014,1,3611.9
2014,2,3627.6
2014,3,3645.4
2014,4,3669.9
2014,5,3708.2
2014,6,3697.1
2014,7,3725
2014,8,3746.4
2014,9,3740.5
2014,1,3785.1
2014,11,3801.9
2014,12,3836.8
2015,1,3853.5
2015,2,3876.8
2015,3,3905.8
2015,4,3885.5
2015,5,3923.4
2015,6,3918.9
2015,7,3948.1
2015,8,3992.6
2015,9,4032.1
2015,1,4032.4
2015,11,4071.1
2015,12,4109.9
2016,1,4096.6
2016,2,4138.8
2016,3,4161.4
2016,4,4175.4
2016,5,4184
2016,6,4228.1
2016,7,4258.7
2016,8,4213.8
2016,9,4278.2
2016,1,4301.4
2016,11,4279.2
2016,12,4295.2
2017,1,4455.8
2017,2,4416.4
2017,3,4428.2
2017,4,4483.7
2017,5,4484.9
2017,6,4488.8
2017,7,4507.7
2017,8,4504.5
2017,9,4503.3
2017,1,4570.8
2017,11,4606.9
2017,12,4626.5
2018,1,4651.6
2018,2,4636.5
2018,3,4722.4
2018,4,4624
2018,5,4654.7
2018,6,4663.6
2018,7,4691.9
2018,8,4729.3
2018,9,4778
2018,1,4805
2018,11,4806.4
2018,12,4803
2019,1,4892.9
2019,2,4892.8
2019,3,4867.5
2019,4,4901.3
2019,5,4845.2
2019,6,4852.6
2019,7,4835.7
2019,8,4916.2
2019,9,4938.5
2019,1,4940.4
2019,11,5073.6
2019,12,5080
2020,1,5081.6
2020,2,5123.4
2020,3,5003.3
2020,4,2750
2020,5,4697.7
2020,6,5374.1
2020,7,5401.4
2020,8,5047.3
2020,9,5373.6
2020,1,5366.6
2020,11,5342.4
2020,12,5299.6
2021,1,5263
2021,2,5141.2
2021,3,5182.7
2021,4,5411.9
2021,5,5505.2
2021,6,5537.6
2021,7,5565.1
2002,1,2843
2002,11,2788.3
2002,12,2883.1
2003,1,2872
2003,2,2875.1
2003,3,2879
2003,4,2884.8
2003,5,2925.7
2003,6,2927.2
2003,7,2993.9
2003,8,3014.6
2003,9,3039.4
2003,1,3078.1
2003,11,3109.9
2003,12,3198.5
2004,1,3187.5
2004,2,3155.6
2004,3,3241.9
2004,4,3279.3
2004,5,3283.7
2004,6,3320.4
2004,7,3338.5
2004,8,3359.3
2004,9,3387.5
2004,1,3393.4
2004,11,3440.3
2004,12,3445.8
2005,1,3478.1
2005,2,3511.2
2005,3,3509
2005,4,3570
2005,5,3525.5
2005,6,3607.9
2005,7,3640.8
2005,8,3659.1
2005,9,3688.1
2005,1,3727.1
2005,11,3729.8
2005,12,3701.6
2006,1,3778.8
2006,2,3795.9
2006,3,3864.8
2006,4,3875.2
2006,5,3938
2006,6,3969.8
2006,7,3974.1
2006,8,4003.9
2006,9,3995.2
2006,1,4061.6
2006,11,4082.8
2006,12,4131
2007,1,4146.8
2007,2,4197.9
2007,3,4233.3
2007,4,4232.1
2007,5,4252.6
2007,6,4312
2007,7,4308.4
2007,8,4339.9
2007,9,4377.3
2007,1,4389.5
2007,11,4459
2007,12,4472
2008,1,4483.5
2008,2,4481.7
2008,3,4463.7
2008,4,4509.4
2008,5,4533.6
2008,6,4508.9
2008,7,4547.6
2008,8,4572.3
2008,9,4590.3
2008,1,4620.1
2008,11,4526.6
2008,12,4513.4
2009,1,4509.3
2009,2,4549.6
2009,3,4551.7
2009,4,4569.6
2009,5,4597.7
2009,6,4584.4
2009,7,4631.2
2009,8,4660.7
2009,9,4666.7
2009,1,4659.1
2009,11,4659.2
2009,12,4710.7
2010,1,4724.4
2010,2,4727.1
2010,3,4812.2
2010,4,4712.2
2010,5,4749.1
2010,6,4788.6
2010,7,4791.5
2010,8,4816.1
2010,9,4883.8
2010,1,4889.4
2010,11,4951.6
2010,12,4962
2011,1,4993.7
2011,2,5008.2
2011,3,5066.7
2011,4,5128.3
2011,5,5092.7
2011,6,5122.4
2011,7,5162.6
2011,8,5146.4
2011,9,5174.8
2011,1,5251.9
2011,11,5229
2011,12,5232.9
2012,1,5283.4
2012,2,5276.7
2012,3,5312.3
2012,4,5324
2012,5,5364.6
2012,6,5379.6
2012,7,5334.9
2012,8,5432.9
2012,9,5450.7
2012,1,5440.7
2012,11,5474.8
2012,12,5501.4
2013,1,5538.7
2013,2,5574
2013,3,5557.6
2013,4,5648
2013,5,5626.7
2013,6,5693.3
2013,7,5720.8
2013,8,5760.8
2013,9,5744.1
2013,1,5792.6
2013,11,5818
2013,12,5857.1
2014,1,5847.6
2014,2,5889.4
2014,3,5886.5
2014,4,5900.9
2014,5,5977.1
2014,6,5958.2
2014,7,5951.7
2014,8,5992.9
2014,9,5998.1
2014,1,6066.1
2014,11,6068.6
2014,12,6079.5
2015,1,6082.2
2015,2,6103.8
2015,3,6175.3
2015,4,6128.7
2015,5,6225.8
2015,6,6259.9
2015,7,6321.7
2015,8,6343.9
2015,9,6374.6
2015,1,6374.3
2015,11,6395.2
2015,12,6469.1
2016,1,6455.8
2016,2,6457.1
2016,3,6454.4
2016,4,6627.4
2016,5,6543.4
2016,6,6624.1
2016,7,6675.1
2016,8,6579.5
2016,9,6699.5
2016,1,6756.3
2016,11,6699.1
2016,12,6778.4
2017,1,7130.9
2017,2,7091.3
2017,3,7116
2017,4,7185.8
2017,5,7198.8
2017,6,7180.9
2017,7,7174.3
2017,8,7221.3
2017,9,7228.3
2017,1,7300.7
2017,11,7388.1
2017,12,7427.3
2018,1,7444.6
2018,2,7437
2018,3,7506.8
2018,4,7469.6
2018,5,7505.3
2018,6,7544.2
2018,7,7548.7
2018,8,7618.2
2018,9,7703.5
2018,1,7704.7
2018,11,7650.1
2018,12,7639
2019,1,7740.2
2019,2,7726.4
2019,3,7735.9
2019,4,7803.9
2019,5,7743.6
2019,6,7758.3
2019,7,7710
2019,8,7835.7
2019,9,7870.6
2019,1,7864.8
2019,11,7965.8
2019,12,7947
2020,1,7985.6
2020,2,8015.9
2020,3,7301.4
2020,4,3784.6
2020,5,6784.3
2020,6,8039.8
2020,7,8082.8
2020,8,7542.5
2020,9,8041
2020,1,8068.9
2020,11,8039.5
2020,12,8008
2021,1,7921.3
2021,2,7659.5
2021,3,7815.3
2021,4,8176.5
2021,5,8343.7
2021,6,8450.7
2021,7,8527.6
2002,8,
2002,9,
2002,1,1225.5
2002,11,1223.8
2002,12,1290.6
2003,1,1267.6
2003,2,1266.9
2003,3,1263.5
2003,4,1259.3
2003,5,1270.1
2003,6,1279.5
2003,7,1306.8
2003,8,1311.4
2003,9,1333.2
2003,1,1349.3
2003,11,1378.1
2003,12,1447.5
2004,1,1427.1
2004,2,1403.7
2004,3,1457.6
2004,4,1479.2
2004,5,1483
2004,6,1498.8
2004,7,1504.1
2004,8,1525.3
2004,9,1535.8
2004,1,1545.7
2004,11,1564.2
2004,12,1573.1
2005,1,1576.2
2005,2,1595.4
2005,3,1587.8
2005,4,1627.2
2005,5,1596.6
2005,6,1642
2005,7,1661
2005,8,1668.2
2005,9,1679.3
2005,1,1699.5
2005,11,1690.5
2005,12,1690.9
2006,1,1723.1
2006,2,1739.5
2006,3,1777.1
2006,4,1780.2
2006,5,1818
2006,6,1818.5
2006,7,1825.1
2006,8,1841.5
2006,9,1824.8
2006,1,1859.8
2006,11,1869.8
2006,12,1891.9
2007,1,1894.5
2007,2,1911.5
2007,3,1932.8
2007,4,1921.6
2007,5,1930.2
2007,6,1955
2007,7,1959.4
2007,8,1969.7
2007,9,1994.5
2007,1,1993.6
2007,11,2040.5
2007,12,2044.9
2008,1,2050.7
2008,2,2039.3
2008,3,2029.3
2008,4,2065.6
2008,5,2069.6
2008,6,2071
2008,7,2076.7
2008,8,2073.1
2008,9,2077
2008,1,2055.6
2008,11,1997.5
2008,12,1985
2009,1,1968.5
2009,2,1993.9
2009,3,1991.9
2009,4,1985.2
2009,5,1978.5
2009,6,1982.5
2009,7,2008
2009,8,2014.3
2009,9,2006.1
2009,1,1998.3
2009,11,2012.5
2009,12,2031.3
2010,1,2027.6
2010,2,2026.5
2010,3,2072.8
2010,4,2011.7
2010,5,2038.6
2010,6,2048
2010,7,2031.1
2010,8,2049.7
2010,9,2080.7
2010,1,2036
2010,11,2095.2
2010,12,2095.8
2011,1,2114.5
2011,2,2122.1
2011,3,2123.4
2011,4,2149.8
2011,5,2150
2011,6,2148.5
2011,7,2174.7
2011,8,2162.1
2011,9,2177.9
2011,1,2230.6
2011,11,2215.2
2011,12,2217.7
2012,1,2237.4
2012,2,2217.7
2012,3,2237.2
2012,4,2232.1
2012,5,2252.8
2012,6,2252.2
2012,7,2234.9
2012,8,2283.9
2012,9,2300.3
2012,1,2295.7
2012,11,2307.9
2012,12,2331.3
2013,1,2330.1
2013,2,2359.8
2013,3,2352.5
2013,4,2410.4
2013,5,2405.3
2013,6,2441.1
2013,7,2461.8
2013,8,2477.1
2013,9,2471
2013,1,2495.9
2013,11,2505.6
2013,12,2533.7
2014,1,2541.2
2014,2,2551.3
2014,3,2552.5
2014,4,2537.3
2014,5,2580
2014,6,2592.1
2014,7,2582
2014,8,2606.1
2014,9,2617.2
2014,1,2660.2
2014,11,2668.4
2014,12,2673.6
2015,1,2662.2
2015,2,2691.6
2015,3,2734.9
2015,4,2681.5
2015,5,2771.3
2015,6,2808.9
2015,7,2852.9
2015,8,2880.1
2015,9,2880.1
2015,1,2899.5
2015,11,2930.4
2015,12,2961.7
2016,1,2969.2
2016,2,2963.6
2016,3,2963.7
2016,4,3042.2
2016,5,3049.1
2016,6,3080.3
2016,7,3121.5
2016,8,3107
2016,9,3178.1
2016,1,3236.7
2016,11,3195.6
2016,12,3284.6
2017,1,3617.7
2017,2,3597.8
2017,3,3640.5
2017,4,3666.5
2017,5,3695.9
2017,6,3698.2
2017,7,3737.9
2017,8,3765.9
2017,9,3750
2017,1,3826.3
2017,11,3886.2
2017,12,3941.3
2018,1,4005.8
2018,2,4033.1
2018,3,4066
2018,4,4042.1
2018,5,4067.3
2018,6,4089.8
2018,7,4127
2018,8,4170.8
2018,9,4224.3
2018,1,4251.5
2018,11,4227
2018,12,4230.8
2019,1,4316.1
2019,2,4323.5
2019,3,4333.2
2019,4,4330.6
2019,5,4286.8
2019,6,4318.6
2019,7,4291.3
2019,8,4357.8
2019,9,4374.2
2019,1,4371.4
2019,11,4472.5
2019,12,4472.7
2020,1,4544.4
2020,2,4554.2
2020,3,4205.6
2020,4,2601.4
2020,5,4385.7
2020,6,4912
2020,7,4905.4
2020,8,4670
2020,9,4904.6
2020,1,4943.5
2020,11,4894.6
2020,12,4888.1
2021,1,4840.2
2021,2,4686.7
2021,3,4843.7
2021,4,5053.1
2021,5,5209.9
2021,6,5269.5
2021,7,5462.7
2002,8,
2002,9,
2002,1,1611.4
2002,11,1559.3
2002,12,1603.6
2003,1,1600.9
2003,2,1612.6
2003,3,1619.1
2003,4,1625
2003,5,1653.2
2003,6,1648.2
2003,7,1683.8
2003,8,1698.6
2003,9,1706.7
2003,1,1722.9
2003,11,1729
2003,12,1759.4
2004,1,1754.5
2004,2,1758
2004,3,1784.4
2004,4,1801.3
2004,5,1806
2004,6,1817
2004,7,1830.6
2004,8,1837
2004,9,1851.4
2004,1,1842.5
2004,11,1874.3
2004,12,1877.7
2005,1,1902.2
2005,2,1917.2
2005,3,1918.6
2005,4,1940.7
2005,5,1935.8
2005,6,1963.2
2005,7,1978.4
2005,8,1991.6
2005,9,2009.5
2005,1,2025.1
2005,11,2035.1
2005,12,2012.3
2006,1,2057.8
2006,2,2056.2
2006,3,2084.6
2006,4,2096.3
2006,5,2125.8
2006,6,2148.4
2006,7,2152.7
2006,8,2160.9
2006,9,2168.6
2006,1,2199.8
2006,11,2211.1
2006,12,2241.2
2007,1,2251.9
2007,2,2286
2007,3,2295.9
2007,4,2319.4
2007,5,2323.7
2007,6,2348.9
2007,7,2355.1
2007,8,2369.5
2007,9,2386.2
2007,1,2388.1
2007,11,2416.2
2007,12,2433.3
2008,1,2429.7
2008,2,2438
2008,3,2437.6
2008,4,2443.8
2008,5,2464.3
2008,6,2443.9
2008,7,2470.9
2008,8,2499.9
2008,9,2519.7
2008,1,2553.4
2008,11,2528.8
2008,12,2532.1
2009,1,2537.5
2009,2,2555.1
2009,3,2567
2009,4,2586
2009,5,2616.4
2009,6,2599.6
2009,7,2625
2009,8,2649.2
2009,9,2659.7
2009,1,2645.8
2009,11,2655.8
2009,12,2678.7
2010,1,2696.3
2010,2,2700.1
2010,3,2743.1
2010,4,2702.1
2010,5,2713.4
2010,6,2733.7
2010,7,2760.4
2010,8,2771
2010,9,2802.6
2010,1,2842.2
2010,11,2861.2
2010,12,2866.9
2011,1,2884.3
2011,2,2885.4
2011,3,2943.3
2011,4,2973.7
2011,5,2949.2
2011,6,2968.2
2011,7,2992
2011,8,2983.9
2011,9,2994.9
2011,1,3018.4
2011,11,3011.8
2011,12,3011.7
2012,1,3054.2
2012,2,3057.5
2012,3,3072.2
2012,4,3098
2012,5,3110.1
2012,6,3118.4
2012,7,3112.8
2012,8,3143.2
2012,9,3145.7
2012,1,3143.4
2012,11,3168
2012,12,3176.2
2013,1,3208
2013,2,3215.7
2013,3,3206.2
2013,4,3231.9
2013,5,3224.9
2013,6,3248.5
2013,7,3267.6
2013,8,3276.1
2013,9,3278.5
2013,1,3290
2013,11,3307.9
2013,12,3331.3
2014,1,3306.6
2014,2,3342.2
2014,3,3343.7
2014,4,3343.4
2014,5,3398.5
2014,6,3373.9
2014,7,3369.3
2014,8,3383.1
2014,9,3376.8
2014,1,3400.8
2014,11,3401
2014,12,3408.9
2015,1,3419.6
2015,2,3421
2015,3,3454.6
2015,4,3425.7
2015,5,3460.5
2015,6,3451.9
2015,7,3467.5
2015,8,3470.9
2015,9,3480.1
2015,1,3465.6
2015,11,3476.1
2015,12,3504.5
2016,1,3491.4
2016,2,3511.3
2016,3,3495.3
2016,4,3557.2
2016,5,3507.1
2016,6,3539.5
2016,7,3553
2016,8,3475.8
2016,9,3508.4
2016,1,3522.7
2016,11,3498.1
2016,12,3489.1
2017,1,3520.8
2017,2,3498.9
2017,3,3480
2017,4,3500
2017,5,3506.5
2017,6,3480.3
2017,7,3457.5
2017,8,3461.1
2017,9,3460.8
2017,1,3477.8
2017,11,3495.3
2017,12,3481.2
2018,1,3438.7
2018,2,3413.2
2018,3,3451.8
2018,4,3415.9
2018,5,3426.2
2018,6,3443
2018,7,3450
2018,8,3454.3
2018,9,3466.8
2018,1,3447.5
2018,11,3412.2
2018,12,3409.6
2019,1,3424.5
2019,2,3425.9
2019,3,3435.7
2019,4,3443.1
2019,5,3433.1
2019,6,3427.1
2019,7,3445.8
2019,8,3477.8
2019,9,3487
2019,1,3482.5
2019,11,3478.1
2019,12,3467.5
2020,1,3453.2
2020,2,3500.4
2020,3,3144.1
2020,4,1174.9
2020,5,2387.8
2020,6,3101.5
2020,7,3221.1
2020,8,2885.9
2020,9,3103.3
2020,1,3117.5
2020,11,3133.9
2020,12,3100.8
2021,1,3098.3
2021,2,3015.1
2021,3,3027.4
2021,4,3083.9
2021,5,3109.3
2021,6,3139.7
2021,7,3121.9
2002,1,2191.2
2002,11,2202.6
2002,12,2212.1
2003,1,2219
2003,2,2223
2003,3,2226.3
2003,4,2233.3
2003,5,2247
2003,6,2263.6
2003,7,2281
2003,8,2297.8
2003,9,2315.3
2003,1,2334.1
2003,11,2354.6
2003,12,2374.9
2004,1,2393.6
2004,2,2412.7
2004,3,2433
2004,4,2453.2
2004,5,2471.9
2004,6,2489.5
2004,7,2505.1
2004,8,2521.1
2004,9,2537.8
2004,1,2554.9
2004,11,2573.8
2004,12,2595.7
2005,1,2619
2005,2,2639.2
2005,3,2654.7
2005,4,2669.8
2005,5,2686.5
2005,6,2708.2
2005,7,2734.7
2005,8,2761.8
2005,9,2784.3
2005,1,2801.4
2005,11,2814.2
2005,12,2824.9
2006,1,2837.2
2006,2,2857.4
2006,3,2887.9
2006,4,2923.6
2006,5,2957.8
2006,6,2981.3
2006,7,2993.8
2006,8,3001.6
2006,9,3011.9
2006,1,3029
2006,11,3051
2006,12,3075.3
2007,1,3101.6
2007,2,3124.6
2007,3,3145.1
2007,4,3161.8
2007,5,3176.6
2007,6,3193.6
2007,7,3212.6
2007,8,3233.4
2007,9,3255.9
2007,1,3278.8
2007,11,3300.3
2007,12,3315.5
2008,1,3324.2
2008,2,3329.7
2008,3,3334.3
2008,4,3341.8
2008,5,3352.9
2008,6,3368
2008,7,3386.4
2008,8,3401.9
2008,9,3409.6
2008,1,3406.1
2008,11,3396.5
2008,12,3391.3
2009,1,3393.9
2009,2,3404.8
2009,3,3417.8
2009,4,3426
2009,5,3432.8
2009,6,3442.7
2009,7,3455.7
2009,8,3466
2009,9,3475
2009,1,3483.5
2009,11,3493.8
2009,12,3509.6
2010,1,3523.6
2010,2,3530.3
2010,3,3533.2
2010,4,3540.5
2010,5,3550.2
2010,6,3562.7
2010,7,3579.4
2010,8,3601.2
2010,9,3629.2
2010,1,3664.2
2010,11,3697
2010,12,3722.8
2011,1,3745.2
2011,2,3766.8
2011,3,3785.8
2011,4,3807.9
2011,5,3831.5
2011,6,3851.6
2011,7,3870.2
2011,8,3890
2011,9,3904.6
2011,1,3915.9
2011,11,3926.9
2011,12,3936.4
2012,1,3946.6
2012,2,3963.1
2012,3,3984
2012,4,4002.7
2012,5,4021.4
2012,6,4043.4
2012,7,4064.6
2012,8,4084.5
2012,9,4099.6
2012,1,4111.3
2012,11,4125.6
2012,12,4145.1
2013,1,4168.4
2013,2,4188.4
2013,3,4205.7
2013,4,4226.5
2013,5,4254
2013,6,4282.7
2013,7,4305.4
2013,8,4321.5
2013,9,4337.9
2013,1,4358
2013,11,4381.4
2013,12,4401.1
2014,1,4412.9
2014,2,4423.6
2014,3,4440.4
2014,4,4459.7
2014,5,4478
2014,6,4490.1
2014,7,4499.7
2014,8,4511.7
2014,9,4529.7
2014,1,4547.7
2014,11,4558.3
2014,12,4567.6
2015,1,4577.4
2015,2,4591.3
2015,3,4612.1
2015,4,4636.4
2015,5,4662.3
2015,6,4691.5
2015,7,4722.5
2015,8,4749.4
2015,9,4773.5
2015,1,4797.6
2015,11,4816.4
2015,12,4830.1
2016,1,4842.7
2016,2,4856.1
2016,3,4873.7
2016,4,4901.3
2016,5,4933.9
2016,6,4962.7
2016,7,4988.8
2016,8,5009
2016,9,5021.2
2016,1,5030.6
2016,11,5053
2016,12,5090.1
2017,1,5139.5
2017,2,5192.3
2017,3,5233.4
2017,4,5253.3
2017,5,5257.8
2017,6,5253.5
2017,7,5249.4
2017,8,5257.1
2017,9,5287.8
2017,1,5338.2
2017,11,5394.8
2017,12,5440.4
2018,1,5460.3
2018,2,5456.9
2018,3,5447.7
2018,4,5446.8
