Year,Month,Data_value
2003,5,2217.7
2003,6,2047.7
2003,7,2216.8
2003,8,2211.3
2003,9,2155.2
2003,1,2348.3
2003,11,2421.7
2003,12,3080.4
2004,1,2410.1
2004,2,2261.1
2004,3,2451.8
2004,4,2427.4
2004,5,2410.6
2004,6,2292.2
2004,7,2470.3
2004,8,2379.4
2004,9,2394.1
2004,1,2559.6
2004,11,2642.5
2004,12,3307.6
2005,1,2603.2
2005,2,2442.7
2005,3,2700
2005,4,2647.7
2005,5,2576.1
2005,6,2523.1
2005,7,2673.7
2005,8,2606
2005,9,2645.8
2005,1,2812.7
2005,11,2870.1
2005,12,3574.8
2006,1,2797.2
2006,2,2632.4
2006,3,2957.9
2006,4,2848.6
2006,5,2876.4
2006,6,2800.2
2006,7,2884.6
2006,8,2862.2
2006,9,2866.2
2006,1,3015.8
2006,11,3127.2
2006,12,3946.2
2007,1,3053.7
2007,2,2896.7
2007,3,3244
2007,4,3059.8
2007,5,3082.7
2007,6,3014.4
2007,7,3061.8
2007,8,3098.2
2007,9,3099.7
2007,1,3245.5
2007,11,3428.5
2007,12,4218.1
2008,1,3302.4
2008,2,3201.7
2008,3,3385.3
2008,4,3228.9
2008,5,3337.7
2008,6,3079.8
2008,7,3263.7
2008,8,3275.5
2008,9,3211.3
2008,1,3453.6
2008,11,3477.1
2008,12,4298.7
2009,1,3412.8
2009,2,3156.9
2009,3,3433.4
2009,4,3330.6
2009,5,3389.9
2009,6,3149.8
2009,7,3352.6
2009,8,3314.5
2009,9,3291.4
2009,1,3529.8
2009,11,3556.9
2009,12,4481.3
2010,1,3532.2
2010,2,3257.7
2010,3,3628.9
2010,4,3445.1
2010,5,3469.7
2010,6,3293.1
2010,7,3507.7
2010,8,3375.6
2010,9,3461
2010,1,3704.1
2010,11,3784.6
2010,12,4764.1
2011,1,3744.4
2011,2,3450.5
2011,3,3848.7
2011,4,3784.5
2011,5,3688.7
2011,6,3575
2011,7,3784.6
2011,8,3646.7
2011,9,3709.3
2011,1,3977.3
2011,11,4016
2011,12,5042.1
2012,1,3927.7
2012,2,3756.9
2012,3,4096.2
2012,4,3856.2
2012,5,3930
2012,6,3793.9
2012,7,3846.9
2012,8,3924.5
2012,9,3885.7
2012,1,4113
2012,11,4279.1
2012,12,5242.4
2013,1,4169.4
2013,2,3858.5
2013,3,4289.1
2013,4,4077
2013,5,4171.2
2013,6,4001.6
2013,7,4140
2013,8,4183
2013,9,4030.4
2013,1,4407.2
2013,11,4572.1
2013,12,5528
2014,1,4419.7
2014,2,4082.4
2014,3,4495.7
2014,4,4298.3
2014,5,4468
2014,6,4142.3
2014,7,4331.3
2014,8,4334.6
2014,9,4219.2
2014,1,4638.3
2014,11,4719.1
2014,12,5733
2015,1,4616.6
2015,2,4246.9
2015,3,4663.1
2015,4,4465.5
2015,5,4611.2
2015,6,4348.4
2015,7,4575.4
2015,8,4515.3
2015,9,4474.7
2015,1,4907.8
2015,11,4938
2015,12,6108.6
2016,1,4854.8
2016,2,4639.7
2016,3,4950.1
2016,4,4813.7
2016,5,4762.7
2016,6,4643
2016,7,4842.9
2016,8,4661.8
